Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_2932,4377.425931,2.508291991,0.069836471,35.91664853,1.68E-282,6.78E-279
BT_3197,1389.193317,7.559317597,0.286930327,26.34548141,5.78E-153,1.17E-149
BT_3198,2295.041833,7.316695917,0.280568204,26.07813652,6.45E-150,8.68E-147
BT_2930,2776.391258,5.89434922,0.316310433,18.63469747,1.68E-77,1.70E-74
BT_3196,1728.217152,3.508227415,0.25313884,13.85890609,1.12E-43,9.07E-41
BT_3199,2550.429129,6.131650018,0.446474833,13.73347289,6.40E-43,3.77E-40
BT_3200,2045.215004,7.392577182,0.538350782,13.73189643,6.54E-43,3.77E-40
BT_3259,5166.328759,3.828221283,0.303968353,12.59414425,2.27E-36,1.15E-33
BT_3201,4325.314008,7.076714295,0.576104105,12.28374218,1.11E-34,4.97E-32
BT_2929,3074.280798,5.896420073,0.493378186,11.95111629,6.41E-33,2.58E-30
BT_p548225,1087.930392,1.519223108,0.13120978,11.57858134,5.29E-31,1.94E-28
BT_1766,2381.227087,1.849391624,0.163452974,11.31451802,1.11E-29,3.74E-27
BT_3231,1916.208117,1.198502799,0.110255025,10.87027828,1.60E-27,4.96E-25
BT_3704,878.1257837,1.712573406,0.176618218,9.696470889,3.12E-22,9.00E-20
BT_2928,2550.147706,5.73300157,0.612979255,9.352684495,8.55E-21,2.30E-18
BT_2698,1915.4754,1.110997137,0.119723074,9.279724475,1.70E-20,4.29E-18
BT_1625,984.7166448,0.883271973,0.095918629,9.208555044,3.31E-20,7.85E-18
BT_3746,1306.703874,1.22007931,0.136593109,8.932217116,4.18E-19,9.36E-17
BT_2810,1173.810014,1.129530037,0.128793165,8.770108555,1.78E-18,3.79E-16
BT_0555,15264.23654,-0.589721045,0.067799517,-8.698012508,3.38E-18,6.81E-16
BT_2538,1617.470519,3.413982792,0.395221535,8.638149717,5.71E-18,1.10E-15
BT_1034,425.3836632,1.282765307,0.149171647,8.599256849,8.02E-18,1.47E-15
BT_3113,3010.831121,0.876265319,0.102172124,8.576363957,9.79E-18,1.72E-15
BT_3023,511.7266581,1.582320711,0.186119476,8.50163962,1.87E-17,3.14E-15
BT_1954,5000.152513,-0.579974786,0.068547804,-8.460880606,2.65E-17,4.28E-15
BT_3257,2160.433213,0.910630192,0.108725306,8.375512776,5.50E-17,8.53E-15
BT_3206,999.1418052,0.568889019,0.069427625,8.193986403,2.53E-16,3.78E-14
BT_3021,1021.824679,1.067521895,0.132017449,8.08621814,6.15E-16,8.87E-14
BT_4528,828.4635237,1.735513002,0.215239135,8.063185187,7.43E-16,1.03E-13
BT_3091,1501.31549,0.645288651,0.080780492,7.988174353,1.37E-15,1.84E-13
BT_1177,821.1883535,-0.770333233,0.097569578,-7.895219514,2.90E-15,3.77E-13
BT_2980,730.1995244,1.388403297,0.176646337,7.859791025,3.85E-15,4.85E-13
BT_2551,928.2488529,1.36063411,0.175060059,7.772384634,7.70E-15,9.42E-13
BT_3316,300.6060749,1.45504789,0.188493153,7.719367353,1.17E-14,1.39E-12
BT_2506,325.3775248,1.184328004,0.153660628,7.707426546,1.28E-14,1.44E-12
BT_4527,561.7768622,1.52794482,0.198206113,7.708868303,1.27E-14,1.44E-12
BT_4526,1088.548463,1.405320782,0.184183057,7.63002202,2.35E-14,2.56E-12
BT_2404,897.6754768,1.463223372,0.192759076,7.590944116,3.18E-14,3.37E-12
BT_3064,2424.085807,0.941565889,0.124416996,7.567823672,3.80E-14,3.93E-12
BT_3155,858.5149075,1.450678059,0.192193803,7.547996014,4.42E-14,4.46E-12
BT_1955,12879.28409,-0.571208336,0.076060117,-7.509958719,5.91E-14,5.82E-12
BT_1182,1538.502135,-0.610329351,0.082162346,-7.428334006,1.10E-13,1.06E-11
BT_2959,742.1615765,0.689144367,0.092941911,7.414785838,1.22E-13,1.14E-11
