Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_2477,1020.581879,0.854028911,0.172971206,4.937405091,7.92E-07,0.003460473
BT_2476,552.7142027,0.727658405,0.154951944,4.696026306,2.65E-06,0.005797506
BT_2478,1575.902631,0.757513711,0.176701245,4.286974375,1.81E-05,0.026389647
BT_3198,2295.041833,1.227174146,0.293667296,4.178790631,2.93E-05,0.032024494
BT_2065,10391.09519,1.00725968,0.250990401,4.013140246,5.99E-05,0.043649017
BT_2932,4377.425931,0.289719694,0.071970246,4.025548204,5.68E-05,0.043649017
BT_3197,1389.193317,1.229697539,0.311425693,3.948606579,7.86E-05,0.049084717
BT_0498,9384.210952,1.046716006,0.279399457,3.746306517,0.000179457,0.087156428
BT_2474,936.9319007,0.872604425,0.231657636,3.766784632,0.000165364,0.087156428
BT_0561,579.9104086,0.363503289,0.103735236,3.504144809,0.000458076,0.200225103
BT_0496,4282.298097,1.101467756,0.319009365,3.452775611,0.00055485,0.220477348
BT_3478,5251.51919,-0.239129637,0.071231842,-3.357060967,0.000787757,0.286940634
BT_2479,2008.491364,0.747043556,0.224030695,3.334558933,0.000854348,0.287258067
BT_1761,2438.648701,-0.636569445,0.193602306,-3.288026159,0.001008925,0.301180261
BT_2064,18367.50079,1.00897769,0.308340706,3.272281833,0.001066832,0.301180261
BT_3633,15696.93854,0.578602068,0.178263917,3.245760984,0.001171371,0.301180261
BT_4594,770.3432528,-0.270489368,0.083173066,-3.252126918,0.001145449,0.301180261
BT_0497,2140.45549,0.977182981,0.309011294,3.16228889,0.001565342,0.365816375
BT_2473,257.7942564,0.865352124,0.274044292,3.15770899,0.001590142,0.365816375
BT_2475,1556.647362,0.722235974,0.232383681,3.107946179,0.001883924,0.392125268
BT_2930,2776.391258,0.998667708,0.32062862,3.114717918,0.001841209,0.392125268
BT_2481,107.4492474,1.198311446,0.389164219,3.079192244,0.002075627,0.394459368
BT_2482,420.7322437,1.203767795,0.390674447,3.081255518,0.002061297,0.394459368
BT_0148,7614.429562,-0.159222033,0.052170249,-3.051969973,0.002273448,0.414051793
BT_0923,58.37533331,-0.687305179,0.227583306,-3.020015797,0.002527615,0.44192821
BT_0495,4663.507518,1.064321029,0.354033461,3.006272416,0.002644719,0.444618028
BT_1495,3674.971972,-0.217193223,0.073674443,-2.948013107,0.003198235,0.517758717
BT_0494,6635.820783,1.026493032,0.35312199,2.906907699,0.003650209,0.569823676
BT_1054,4579.757656,-0.24849478,0.085876558,-2.89362762,0.003808195,0.573986907
BT_1760,3270.944956,-0.663083931,0.230668429,-2.874619361,0.004045148,0.585848603
BT_2403,17024.82952,0.303842633,0.10601067,2.866151416,0.004154955,0.585848603
BT_0491,1233.2128,1.018207331,0.365379469,2.786711943,0.005324579,0.67644548
BT_0492,1376.506462,0.994769128,0.356034276,2.794026294,0.005205625,0.67644548
BT_1496,4020.417772,-0.264050282,0.094637791,-2.790114585,0.005268939,0.67644548
BT_2063,13685.37062,0.956228538,0.343823728,2.781159243,0.005416516,0.67644548
BT_1762,1848.655425,-0.833941656,0.302470678,-2.757099167,0.005831666,0.708061478
BT_0517,4765.383809,0.950316502,0.350280391,2.713016559,0.006667377,0.787651539
BT_0560,694.1574544,0.37903036,0.141315931,2.682148847,0.00731509,0.799356506
BT_1297,756.1520831,-0.305940258,0.113907928,-2.685855711,0.007234432,0.799356506
BT_2144,3943.065928,0.431113192,0.160036814,2.693837622,0.007063457,0.799356506
BT_1592,14951.6845,0.320037827,0.12019987,2.662547207,0.007755169,0.826776684
BT_4533,1662.344331,-0.244182355,0.092451546,-2.64119277,0.00826147,0.859782968
BT_0562,764.0768267,0.332011118,0.12688812,2.616565814,0.008881924,0.862730884
BT_1191,631.6779544,-0.270610612,0.102867109,-2.630681613,0.008521383,0.862730884
BT_1403,1936.569615,-0.409982255,0.156647183,-2.617233495,0.008864568,0.862730884
BT_0508,1133.200765,0.975154057,0.375638014,2.595994072,0.009431769,0.896223116
BT_2480,1396.210153,0.66981419,0.25979563,2.578235018,0.009930643,0.923549814
BT_0509,1012.648499,0.971502257,0.378021375,2.569966463,0.010170836,0.926181759
BT_0493,1471.244641,1.062588949,0.417815893,2.54319897,0.010984266,0.941545374
BT_1057,2597.835161,-0.273252371,0.10744638,-2.543151036,0.010985773,0.941545374
BT_3583,185.2293248,-0.543593517,0.212800583,-2.554473812,0.010634843,0.941545374
BT_4305,2530.070771,-0.317481224,0.125997282,-2.519746617,0.011743934,0.987167987
BT_0001,60.31491325,0.087469255,0.534870533,0.163533509,0.870098392,0.999886879
BT_0002,38.25497237,0.267049454,0.596493284,0.447699012,0.654370435,0.999886879
BT_0003,10.47318924,0.84938591,0.767871447,1.106156392,0.268658834,0.999886879
BT_0007,11.79468403,-0.472465996,0.596528096,-0.792026392,0.428345288,0.999886879
BT_0008,1240.347201,0.021360064,0.117086019,0.182430528,0.85524487,0.999886879
BT_0009,51.24303061,0.40403,0.303234329,1.332401915,0.182728153,0.999886879
BT_0010,40.86740477,0.404841467,0.480461076,0.842610333,0.39944641,0.999886879
BT_0011,11.57229441,0.857672541,0.83925428,1.021945984,0.306806467,0.999886879
BT_0012,29.41951648,1.165387916,0.973223862,1.19745103,0.231130804,0.999886879
BT_0014,50.02035264,0.946790827,0.63775028,1.48457924,0.137655318,0.999886879
BT_0015,19.12231342,0.57768952,1.029066561,0.561372356,0.574543725,0.999886879
